time,Lactate,Acetate,Ethanol,PDO
0,0,0,0,0
12.895,5.718,7.427,0.498,7.062
22.105,13.307,24.942,3.244,30.22
22.273,13.43,25.192,3.291,30.603
25.12,13.635,29.504,3.849,37.206
28.134,10.838,34.146,4.214,44.466
28.301,10.675,34.404,4.237,44.883
31.316,7.688,38.929,4.734,53.09
31.483,7.52,39.168,4.764,53.601
34.163,4.87,42.606,5.185,61.808
34.498,4.558,42.961,5.228,62.734
37.177,2.191,45.048,5.512,68.72
37.344,2.055,45.146,5.528,69.038
39.689,0.615,46.405,5.76,72.306
40.024,0.494,46.582,5.799,72.653
40.191,0.439,46.671,5.82,72.822
40.359,0.388,46.76,5.842,72.988
46.053,0.27,49.389,6.496,78.509
49.067,0,50.22,6.614,80.709
49.234,0,50.22,6.614,80.724
60.12,0,50.22,6.871,80.774
60.287,0,50.22,6.871,80.774
70,0,50.22,6.871,80.774